date,Total_Area
2015/3/10 17:15,211.6432367
2015/3/10 17:30,208.85126
2015/3/10 17:45,194.7744822
2015/3/10 18:00,214.9212556
2015/3/10 18:15,216.8971178
2015/3/10 18:30,214.1030433
2015/3/10 18:45,190.5821567
2015/3/10 19:00,217.3596589
2015/3/10 19:15,222.2663856
2015/3/10 19:30,216.7742378
2015/3/10 19:45,218.8450278
2015/3/10 20:00,224.5315911
2015/3/10 20:15,243.6113722
2015/3/10 20:30,210.6485733
2015/3/10 20:45,227.9371911
2015/3/10 21:00,222.2731967
2015/3/10 21:15,184.6232478
2015/3/10 21:30,206.9974944
2015/3/10 21:45,203.19758
2015/3/10 22:00,252.4289589
2015/3/10 22:15,223.8692922
2015/3/10 22:30,231.3208422
2015/3/10 22:45,202.4419744
2015/3/10 23:00,189.6643633
2015/3/10 23:15,219.1546344
2015/3/10 23:30,204.5715656
2015/3/10 23:45,227.0572544
2015/3/11 0:00,203.7698644
2015/3/11 0:15,224.5182356
2015/3/11 0:30,217.8541767
2015/3/11 0:45,204.1711522
2015/3/11 1:00,198.1999911
2015/3/11 1:15,199.8275133
2015/3/11 1:30,199.3068033
2015/3/11 1:45,187.8405256
2015/3/11 2:00,188.6118544
2015/3/11 2:15,166.4475311
2015/3/11 2:30,171.8938522
2015/3/11 2:45,160.73776
2015/3/11 3:00,166.6078522
2015/3/11 3:15,184.1055889
2015/3/11 3:30,166.3919956
2015/3/11 3:45,186.8983644
2015/3/11 4:00,172.0486044
2015/3/11 4:15,168.66497
2015/3/11 4:30,175.6068267
2015/3/11 4:45,181.0969967
2015/3/11 5:00,161.4158778
2015/3/11 5:15,162.5909089
2015/3/11 5:30,163.0231344
2015/3/11 5:45,191.4617044
2015/3/11 6:00,168.6443456
2015/3/11 6:15,167.5659356
2015/3/11 6:30,177.6490622
2015/3/11 6:45,200.3725878
2015/3/11 7:00,171.2704189
2015/3/11 7:15,187.5671089
2015/3/11 7:30,209.4578956
2015/3/11 7:45,209.5155711
2015/3/11 8:00,213.22003
2015/3/11 8:15,255.3619522
2015/3/11 8:30,240.2647278
2015/3/11 8:45,236.5419556
2015/3/11 9:00,247.30716
2015/3/11 9:15,237.8043422
2015/3/11 9:30,217.9380589
2015/3/11 9:45,213.8608689
2015/3/11 10:00,200.1288222
2015/3/11 10:15,210.69533
2015/3/11 10:30,184.9566678
2015/3/11 10:45,195.7372233
2015/3/11 11:00,202.8040111
2015/3/11 11:15,179.6662889
2015/3/11 11:30,182.8856656
2015/3/11 11:45,155.8975767
2015/3/11 12:00,153.71642
2015/3/11 12:15,168.9928089
2015/3/11 12:30,155.4612633
2015/3/11 12:45,148.3767267
2015/3/11 13:00,168.5302344
2015/3/11 13:15,163.0909089
2015/3/11 13:30,178.3044678
2015/3/11 13:45,168.5105656
2015/3/11 14:00,178.5634189
2015/3/11 14:15,164.1065489
2015/3/11 14:30,143.1448456
2015/3/11 14:45,155.2027545
2015/3/11 15:00,142.3118944
2015/3/11 15:15,149.8949289
2015/3/11 15:30,151.00971
2015/3/11 15:45,116.2748611
2015/3/11 16:00,137.03726
2015/3/11 16:15,124.04094
2015/3/11 16:30,116.1953989
2015/3/11 16:45,152.6941433
2015/3/11 17:00,120.0572544
2015/3/11 17:15,135.6581489
2015/3/11 17:30,137.38975
2015/3/11 17:45,155.0713967
2015/3/11 18:00,126.6354489
2015/3/11 18:15,133.7179022
2015/3/11 18:30,143.7573711
2015/3/11 18:45,173.6171245
2015/3/11 19:00,180.9396856
2015/3/11 19:15,179.3902944
2015/3/11 19:30,215.5544856
2015/3/11 19:45,234.10026
2015/3/11 20:00,210.3738144
2015/3/11 20:15,214.72218
2015/3/11 20:30,209.7122389
2015/3/11 20:45,186.5397178
2015/3/11 21:00,205.1266478
2015/3/11 21:15,209.7224667
2015/3/11 21:30,188.3055411
2015/3/11 21:45,172.9501356
2015/3/11 22:00,201.23462
2015/3/11 22:15,210.5455778
2015/3/11 22:30,217.9446333
2015/3/11 22:45,205.1755133
2015/3/11 23:00,208.9011922
2015/3/11 23:15,178.4556556
2015/3/11 23:30,218.5168356
2015/3/11 23:45,215.2313811
2015/3/12 0:00,198.4637644
2015/3/12 0:15,213.70816
2015/3/12 0:30,199.41189
2015/3/12 0:45,208.3902233
2015/3/12 1:00,198.74153
2015/3/12 1:15,177.6532189
2015/3/12 1:30,168.24288
2015/3/12 1:45,152.9177967
2015/3/12 2:00,173.8441267
2015/3/12 2:15,168.1442767
2015/3/12 2:30,153.3757256
2015/3/12 2:45,187.1943978
2015/3/12 3:00,150.9306422
2015/3/12 3:15,177.25302
2015/3/12 3:30,172.6545222
2015/3/12 3:45,159.2938278
2015/3/12 4:00,155.3931767
2015/3/12 4:15,168.5300767
2015/3/12 4:30,161.7564922
2015/3/12 4:45,162.0523422
2015/3/12 5:00,179.2506978
2015/3/12 5:15,175.5931244
2015/3/12 5:30,174.5060567
2015/3/12 5:45,167.7986656
2015/3/12 6:00,184.7529133
2015/3/12 6:15,183.43513
2015/3/12 6:30,182.9637367
2015/3/12 6:45,185.8204044
2015/3/12 7:00,181.0594722
2015/3/12 7:15,208.8070467
2015/3/12 7:30,227.6506489
2015/3/12 7:45,236.6965033
2015/3/12 8:00,235.0212644
2015/3/12 8:15,236.4726167
2015/3/12 8:30,262.6917389
2015/3/12 8:45,243.7288033
2015/3/12 9:00,274.2016456
2015/3/12 9:15,236.5366789
2015/3/12 9:30,228.61906
2015/3/12 9:45,211.4725844
2015/3/12 10:00,210.8010233
2015/3/12 10:15,228.6783467
2015/3/12 10:30,226.4765189
2015/3/12 10:45,230.0001933
2015/3/12 11:00,238.1911256
2015/3/12 11:15,239.5871744
2015/3/12 11:30,246.3516156
2015/3/12 11:45,216.9521289
2015/3/12 12:00,226.6977944
2015/3/12 12:15,214.8180256
2015/3/12 12:30,207.7150333
2015/3/12 12:45,225.5978622
2015/3/12 13:00,208.8744011
2015/3/12 13:15,212.5311056
2015/3/12 13:30,213.4020522
2015/3/12 13:45,254.0625056
2015/3/12 14:00,236.7655356
2015/3/12 14:15,207.6184445
2015/3/12 14:30,191.1626322
2015/3/12 14:45,192.1711733
2015/3/12 15:00,196.5999422
2015/3/12 15:15,195.5196544
2015/3/12 15:30,185.6320856
2015/3/12 15:45,181.4047889
2015/3/12 16:00,187.3960256
2015/3/12 16:15,190.6153489
2015/3/12 16:30,183.4446944
2015/3/12 16:45,198.0565289
2015/3/12 17:00,184.3760378
2015/3/12 17:15,209.0113933
2015/3/12 17:30,220.1655967
2015/3/12 17:45,204.2007489
2015/3/12 18:00,217.9810022
2015/3/12 18:15,218.2191489
2015/3/12 18:30,209.4526244
2015/3/12 18:45,199.39634
2015/3/12 19:00,231.7076733
2015/3/12 19:15,222.8259278
2015/3/12 19:30,226.7303889
2015/3/12 19:45,213.1605656
2015/3/12 20:00,236.80894
2015/3/12 20:15,247.3410367
2015/3/12 20:30,249.1418322
2015/3/12 20:45,241.3643911
2015/3/12 21:00,245.0850833
2015/3/12 21:15,231.8840578
2015/3/12 21:30,234.6710678
2015/3/12 21:45,254.28875
2015/3/12 22:00,252.9129256
2015/3/12 22:15,255.8374733
2015/3/12 22:30,239.8981578
2015/3/12 22:45,236.7025544
2015/3/12 23:00,251.7768189
2015/3/12 23:15,261.8261244
2015/3/12 23:30,250.5960789
2015/3/12 23:45,247.6234422
2015/3/13 0:00,242.0187711
2015/3/13 0:15,251.4354311
2015/3/13 0:30,255.7214167
2015/3/13 0:45,245.1222556
2015/3/13 1:00,238.2098756
2015/3/13 1:15,241.3105244
2015/3/13 1:30,231.4986544
2015/3/13 1:45,237.8667622
2015/3/13 2:00,237.2263422
2015/3/13 2:15,235.45772
2015/3/13 2:30,222.3407633
2015/3/13 2:45,247.5757322
2015/3/13 3:00,225.8759467
2015/3/13 3:15,239.77204
2015/3/13 3:30,222.3461933
2015/3/13 3:45,230.3743467
2015/3/13 4:00,242.4780411
2015/3/13 4:15,217.8179433
2015/3/13 4:30,247.2442333
2015/3/13 4:45,232.4287578
2015/3/13 5:00,230.4067433
2015/3/13 5:15,250.5241167
2015/3/13 5:30,229.0546844
2015/3/13 5:45,243.3427478
2015/3/13 6:00,246.0517989
2015/3/13 6:15,243.8115822
2015/3/13 6:30,236.4228356
2015/3/13 6:45,252.1107122
2015/3/13 7:00,251.0888367
2015/3/13 7:15,271.9766233
2015/3/13 7:30,273.2739433
2015/3/13 7:45,278.22349
2015/3/13 8:00,275.5421144
2015/3/13 8:15,318.0443267
2015/3/13 8:30,294.3013867
2015/3/13 8:45,310.6327911
2015/3/13 9:00,293.6997467
2015/3/13 9:15,279.5992067
2015/3/13 9:30,276.1548278
2015/3/13 9:45,301.4803133
2015/3/13 10:00,271.1603433
2015/3/13 10:15,271.6575111
2015/3/13 10:30,251.3028844
2015/3/13 10:45,260.0347678
2015/3/13 11:00,251.2023378
2015/3/13 11:15,239.6444656
2015/3/13 11:30,232.4049867
2015/3/13 11:45,241.9982744
2015/3/13 12:00,242.8696244
2015/3/13 12:15,241.3554067
2015/3/13 12:30,274.6532467
2015/3/13 12:45,237.8767578
2015/3/13 13:00,214.0792433
2015/3/13 13:15,231.7603289
2015/3/13 13:30,236.3205067
2015/3/13 13:45,215.45873
2015/3/13 14:00,222.4192922
2015/3/13 14:15,196.6445511
2015/3/13 14:30,198.75548
2015/3/13 14:45,204.7466322
2015/3/13 15:00,201.4767433
2015/3/13 15:15,185.2607378
2015/3/13 15:30,208.6573989
2015/3/13 15:45,195.0661378
2015/3/13 16:00,187.8439
2015/3/13 16:15,212.42227
2015/3/13 16:30,185.7084933
2015/3/13 16:45,182.2431289
2015/3/13 17:00,185.6029689
2015/3/13 17:15,202.19476
2015/3/13 17:30,216.6677144
2015/3/13 17:45,195.4535556
2015/3/13 18:00,221.2764033
2015/3/13 18:15,233.17231
2015/3/13 18:30,217.0379489
2015/3/13 18:45,207.7457578
2015/3/13 19:00,235.0008422
2015/3/13 19:15,219.5424133
2015/3/13 19:30,231.0472233
2015/3/13 19:45,231.0839444
2015/3/13 20:00,238.30458
2015/3/13 20:15,235.6667956
2015/3/13 20:30,237.3353678
2015/3/13 20:45,230.8509922
2015/3/13 21:00,225.0075422
2015/3/13 21:15,230.5699344
2015/3/13 21:30,226.2608578
2015/3/13 21:45,226.7482889
2015/3/13 22:00,236.5265433
2015/3/13 22:15,219.8300878
2015/3/13 22:30,242.5290855
2015/3/13 22:45,230.1910078
2015/3/13 23:00,209.0155278
2015/3/13 23:15,206.14867
2015/3/13 23:30,205.3133711
2015/3/13 23:45,246.3594533
2015/3/14 0:00,246.2368122
2015/3/14 0:15,211.6612367
2015/3/14 0:30,252.2225111
2015/3/14 0:45,223.2385167
2015/3/14 1:00,219.5347822
2015/3/14 1:15,224.9693178
2015/3/14 1:30,208.7438622
2015/3/14 1:45,204.0741944
2015/3/14 2:00,214.3530889
2015/3/14 2:15,196.7881889
